X,Delta_g
-3000,0.00102464
-2996.67,0.00102669
-2993.33,0.00102876
-2990,0.00103082
-2986.66,0.0010329
-2983.33,0.00103497
-2979.99,0.00103706
-2976.66,0.00103915
-2973.32,0.00104124
-2969.99,0.00104334
-2966.66,0.00104545
-2963.32,0.00104756
-2959.99,0.00104968
-2956.65,0.0010518
-2953.32,0.00105393
-2949.98,0.00105606
-2946.65,0.00105821
-2943.31,0.00106035
-2939.98,0.0010625
-2936.65,0.00106466
-2933.31,0.00106683
-2929.98,0.001069
-2926.64,0.00107117
-2923.31,0.00107336
-2919.97,0.00107554
-2916.64,0.00107774
-2913.3,0.00107994
-2909.97,0.00108214
-2906.64,0.00108435
-2903.3,0.00108657
-2899.97,0.0010888
-2896.63,0.00109103
-2893.3,0.00109326
-2889.96,0.00109551
-2886.63,0.00109775
-2883.29,0.00110001
-2879.96,0.00110227
-2876.63,0.00110454
-2873.29,0.00110681
-2869.96,0.00110909
-2866.62,0.00111138
-2863.29,0.00111367
-2859.95,0.00111597
-2856.62,0.00111827
-2853.28,0.00112059
-2849.95,0.0011229
-2846.62,0.00112523
-2843.28,0.00112756
-2839.95,0.0011299
-2836.61,0.00113224
-2833.28,0.00113459
-2829.94,0.00113695
-2826.61,0.00113931
-2823.27,0.00114168
-2819.94,0.00114406
-2816.61,0.00114644
-2813.27,0.00114883
-2809.94,0.00115123
-2806.6,0.00115363
-2803.27,0.00115604
-2799.93,0.00115846
-2796.6,0.00116088
-2793.26,0.00116331
-2789.93,0.00116575
-2786.6,0.00116819
-2783.26,0.00117064
-2779.93,0.0011731
-2776.59,0.00117557
-2773.26,0.00117804
-2769.92,0.00118052
-2766.59,0.001183
-2763.25,0.0011855
-2759.92,0.001188
-2756.59,0.0011905
-2753.25,0.00119302
-2749.92,0.00119554
-2746.58,0.00119807
-2743.25,0.0012006
-2739.91,0.00120314
-2736.58,0.00120569
-2733.24,0.00120825
-2729.91,0.00121082
-2726.58,0.00121339
-2723.24,0.00121597
-2719.91,0.00121855
-2716.57,0.00122115
-2713.24,0.00122375
-2709.9,0.00122636
-2706.57,0.00122897
-2703.23,0.0012316
-2699.9,0.00123423
-2696.57,0.00123687
-2693.23,0.00123951
-2689.9,0.00124217
-2686.56,0.00124483
-2683.23,0.0012475
-2679.89,0.00125017
-2676.56,0.00125286
-2673.22,0.00125555
-2669.89,0.00125825
-2666.56,0.00126096
-2663.22,0.00126367
-2659.89,0.0012664
-2656.55,0.00126913
-2653.22,0.00127187
-2649.88,0.00127461
-2646.55,0.00127737
-2643.21,0.00128013
-2639.88,0.0012829
-2636.55,0.00128568
-2633.21,0.00128847
-2629.88,0.00129126
-2626.54,0.00129407
-2623.21,0.00129688
-2619.87,0.0012997
-2616.54,0.00130252
-2613.2,0.00130536
-2609.87,0.00130821
-2606.54,0.00131106
-2603.2,0.00131392
-2599.87,0.00131679
-2596.53,0.00131967
-2593.2,0.00132255
-2589.86,0.00132545
-2586.53,0.00132835
-2583.19,0.00133126
-2579.86,0.00133418
-2576.53,0.00133711
-2573.19,0.00134005
-2569.86,0.00134299
-2566.52,0.00134595
-2563.19,0.00134891
-2559.85,0.00135189
-2556.52,0.00135487
-2553.18,0.00135786
-2549.85,0.00136086
-2546.52,0.00136386
-2543.18,0.00136688
-2539.85,0.0013699
-2536.51,0.00137294
-2533.18,0.00137598
-2529.84,0.00137904
-2526.51,0.0013821
-2523.17,0.00138517
-2519.84,0.00138825
-2516.51,0.00139134
-2513.17,0.00139443
-2509.84,0.00139754
-2506.5,0.00140066
-2503.17,0.00140379
-2499.83,0.00140692
-2496.5,0.00141007
-2493.16,0.00141322
-2489.83,0.00141638
-2486.5,0.00141956
-2483.16,0.00142274
-2479.83,0.00142593
-2476.49,0.00142913
-2473.16,0.00143235
-2469.82,0.00143557
-2466.49,0.0014388
-2463.15,0.00144204
-2459.82,0.00144529
-2456.49,0.00144855
-2453.15,0.00145182
-2449.82,0.0014551
-2446.48,0.00145839
-2443.15,0.00146169
-2439.81,0.001465
-2436.48,0.00146832
-2433.14,0.00147165
-2429.81,0.00147499
-2426.48,0.00147834
-2423.14,0.0014817
-2419.81,0.00148507
-2416.47,0.00148845
-2413.14,0.00149184
-2409.8,0.00149524
-2406.47,0.00149866
-2403.13,0.00150208
-2399.8,0.00150551
-2396.47,0.00150896
-2393.13,0.00151241
-2389.8,0.00151587
-2386.46,0.00151935
-2383.13,0.00152284
-2379.79,0.00152633
-2376.46,0.00152984
-2373.12,0.00153336
-2369.79,0.00153689
-2366.46,0.00154043
-2363.12,0.00154398
-2359.79,0.00154754
-2356.45,0.00155111
-2353.12,0.0015547
-2349.78,0.00155829
-2346.45,0.0015619
-2343.11,0.00156552
-2339.78,0.00156914
-2336.45,0.00157278
-2333.11,0.00157644
-2329.78,0.0015801
-2326.44,0.00158377
-2323.11,0.00158746
-2319.77,0.00159115
-2316.44,0.00159486
-2313.1,0.00159858
-2309.77,0.00160231
-2306.44,0.00160606
-2303.1,0.00160981
-2299.77,0.00161358
-2296.43,0.00161736
-2293.1,0.00162115
-2289.76,0.00162495
-2286.43,0.00162876
-2283.09,0.00163259
-2279.76,0.00163643
-2276.43,0.00164028
-2273.09,0.00164414
-2269.76,0.00164801
-2266.42,0.0016519
-2263.09,0.0016558
-2259.75,0.00165971
-2256.42,0.00166364
-2253.08,0.00166757
-2249.75,0.00167152
-2246.42,0.00167548
-2243.08,0.00167946
-2239.75,0.00168344
-2236.41,0.00168744
-2233.08,0.00169145
-2229.74,0.00169548
-2226.41,0.00169951
-2223.07,0.00170356
-2219.74,0.00170763
-2216.41,0.0017117
-2213.07,0.00171579
-2209.74,0.0017199
-2206.4,0.00172401
-2203.07,0.00172814
-2199.73,0.00173228
-2196.4,0.00173644
-2193.06,0.0017406
-2189.73,0.00174479
-2186.4,0.00174898
-2183.06,0.00175319
-2179.73,0.00175741
-2176.39,0.00176165
-2173.06,0.0017659
-2169.72,0.00177016
-2166.39,0.00177444
-2163.05,0.00177873
-2159.72,0.00178303
-2156.39,0.00178735
-2153.05,0.00179168
-2149.72,0.00179603
-2146.38,0.00180039
-2143.05,0.00180477
-2139.71,0.00180916
-2136.38,0.00181356
-2133.04,0.00181798
-2129.71,0.00182241
-2126.38,0.00182686
-2123.04,0.00183132
-2119.71,0.00183579
-2116.37,0.00184028
-2113.04,0.00184479
-2109.7,0.00184931
-2106.37,0.00185384
-2103.03,0.00185839
-2099.7,0.00186296
-2096.37,0.00186754
-2093.03,0.00187213
-2089.7,0.00187674
-2086.36,0.00188137
-2083.03,0.00188601
-2079.69,0.00189066
-2076.36,0.00189533
-2073.02,0.00190002
-2069.69,0.00190472
-2066.36,0.00190944
-2063.02,0.00191417
-2059.69,0.00191892
-2056.35,0.00192368
-2053.02,0.00192846
-2049.68,0.00193326
-2046.35,0.00193807
-2043.01,0.0019429
-2039.68,0.00194774
-2036.35,0.0019526
-2033.01,0.00195748
-2029.68,0.00196237
-2026.34,0.00196728
-2023.01,0.0019722
-2019.67,0.00197715
-2016.34,0.0019821
-2013,0.00198708
-2009.67,0.00199207
-2006.34,0.00199708
-2003,0.00200211
-1999.67,0.00200715
-1996.33,0.00201221
-1993,0.00201728
-1989.66,0.00202238
-1986.33,0.00202749
-1982.99,0.00203261
-1979.66,0.00203776
-1976.33,0.00204292
-1972.99,0.0020481
-1969.66,0.0020533
-1966.32,0.00205851
-1962.99,0.00206375
-1959.65,0.002069
-1956.32,0.00207427
-1952.98,0.00207955
-1949.65,0.00208486
-1946.32,0.00209018
-1942.98,0.00209552
-1939.65,0.00210088
-1936.31,0.00210626
-1932.98,0.00211165
-1929.64,0.00211706
-1926.31,0.0021225
-1922.97,0.00212795
-1919.64,0.00213342
-1916.31,0.00213891
-1912.97,0.00214441
